Title,Subtitle,Content
Code of Ordinances,NULL,NULL
"CODE OF ORDINANCES CITY OF ALVARADO, TEXAS",NULL,"____________

            Published 2010 by Order of the City Council

            ____________

            OFFICIALS

            of the

            CITY OF

            ALVARADO, TEXAS

            AT THE TIME OF THIS RECODIFICATION

            ____________

            Dwayne ""Coach"" Richters

            Mayor

            ____________

            David Bayless

            Joe Sain

            Bruce Clark

            Tom Moore

            City Council

            ____________

            Donald Ives

            City Manager

            ____________

            Debbie Thomas

            City Secretary

            ____________

            Bryn D. Meredith

            City Attorney

            PREFACE

            This Code constitutes a recodification of the general and permanent ordinances of
            the City of Alvarado, Texas.

            Source materials used in the preparation of the Code were the 2008 Code, as supplemented,
            and ordinances subsequently adopted by the City Council. The source of each section
            is included in the history note appearing in parentheses at the end thereof. The absence
            of such a note indicates that the section is new and was adopted for the first time
            with the adoption of the Code. By use of the comparative tables appearing in the back
            of this Code, the reader can locate any section of the 2008 Code, as supplemented,
            and any ordinance included herein.

            The chapters of the Code have been conveniently arranged in alphabetical order, and
            the various sections within each chapter have been catchlined to facilitate usage.
            Notes which tie related sections of the Code together and which refer to relevant
            state law have been included. A table listing the state law citations and setting
            forth their location within the Code is included at the back of this Code.

            Chapter and Section Numbering System

            The chapter and section numbering system used in this Code is the same system used
            in many state and local government codes. Each section number consists of two parts
            separated by a dash. The figure before the dash refers to the chapter number, and
            the figure after the dash refers to the position of the section within the chapter.
            Thus, the second section of chapter 1 is numbered 1-2, and the first section of chapter 6 is 6-1. Under this system, each section is identified with its chapter, and at the same
            time new sections can be inserted in their proper place by using the decimal system
            for amendments. For example, if new material consisting of one section that would
            logically come between sections 6-1 and 6-2 is desired to be added, such new section would be numbered 6-1.5. New articles and
            new divisions may be included in the same way or, in the case of articles, may be
            placed at the end of the chapter embracing the subject, and, in the case of divisions,
            may be placed at the end of the article embracing the subject. The next successive
            number shall be assigned to the new article or division. New chapters may be included
            by using one of the reserved chapter numbers. Care should be taken that the alphabetical
            arrangement of chapters is maintained when including new chapters.

            Page Numbering System

            The page numbering system used in this Code is a prefix system. The letters to the
            left of the colon are an abbreviation which represents a certain portion of the volume.
            The number to the right of the colon represents the number of the page in that portion.
            In the case of a chapter of the Code, the number to the left of the colon indicates
            the number of the chapter. In the case of an appendix to the Code, the letter immediately
            to the left of the colon indicates the letter of the appendix. The following are typical
            parts of codes of ordinances, which may or may not appear in this Code at this time,
            and their corresponding prefixes:

                              CODE

                              CD1:1

                              CODE APPENDIX

                              CDA:1

                              CODE COMPARATIVE TABLES

                              CCT:1

                              STATE LAW REFERENCE TABLE

                              SLT:1

                              CODE INDEX

                              CDi:1

               &nbsp;

            Index

            The index has been prepared with the greatest of care. Each particular item has been
            placed under several headings, some of which are couched in lay phraseology, others
            in legal terminology, and still others in language generally used by local government
            officials and employees. There are numerous cross references within the index itself
            which stand as guideposts to direct the user to the particular item in which the user
            is interested.

            Looseleaf Supplements

            A special feature of this publication is the looseleaf system of binding and supplemental
            servicing of the publication. With this system, the publication will be kept up to
            date. Subsequent amendatory legislation will be properly edited, and the affected
            page or pages will be reprinted. These new pages will be distributed to holders of
            copies of the publication, with instructions for the manner of inserting the new pages
            and deleting the obsolete pages.

            Keeping this publication up to date at all times will depend largely upon the holder
            of the publication. As revised pages are received, it will then become the responsibility
            of the holder to have the amendments inserted according to the attached instructions.
            It is strongly recommended by the publisher that all such amendments be inserted immediately
            upon receipt to avoid misplacing them and, in addition, that all deleted pages be
            saved and filed for historical reference purposes.

            Acknowledgments

            This publication was under the direct supervision of Bill Carroll, Senior Code Attorney,
            and K. Barrington, Editor, of the Municipal Code Corporation, Tallahassee, Florida.
            Credit is gratefully given to the other members of the publisher's staff for their
            sincere interest and able assistance throughout the project.

            The publisher is most grateful to Mr. Don Ives, City Manager, and Ms. Debbie Thomas,
            City Secretary, for their cooperation and assistance during the progress of the work
            on this publication. It is hoped that their efforts and those of the publisher have
            resulted in a Code of Ordinances which will make the active law of the City readily
            accessible to all citizens and which will be a valuable tool in the day-to-day administration
            of the city's affairs.

            Copyright

            All editorial enhancements of this Code are copyrighted by Municipal Code Corporation
            and the City of Alvarado, Texas. Editorial enhancements include, but are not limited
            to: organization; table of contents; section catchlines; prechapter section analyses;
            editor's notes; state law references; numbering system; code comparative table; state
            law reference table; and index. Such material may not be used or reproduced for commercial
            purposes without the express written consent of Municipal Code Corporation and the
            City of Alvarado, Texas.

            © Copyrighted material.
            
            Municipal Code Corporation and the City of Alvarado, Texas. 2010.

            ORDINANCE NO. 2010-009

            AN ORDINANCE ADOPTING AND ENACTING A NEW CODE FOR THE CITY OF ALVARADO, TEXAS; PROVIDING
            OR THE REPEAL OF CERTAIN ORDINANCES NOT INCLUDED THEREIN; PROVIDING A PENALTY FOR
            THE VIOLATION THEREOF; PROVIDING FOR THE MANNER OF AMENDING SUCH CODE; AND PROVIDING
            WHEN SUCH CODE AND THIS ORDINANCE SHALL BECOME EFFECTIVE.

            BE IT ORDAINED BY THE CITY COUNCIL OF THE CITY OF ALVARADO, TEXAS:

               Section 1
               
            . The Code entitled ""The Code of Ordinances, City of Alvarado, Texas,"" published by
            Municipal Code Corporation, consisting of chapters 1 through 42, each inclusive, is adopted.

               Section 2
               
            . All ordinances of a general and permanent nature enacted on or before March 15,
            2010, and not included in the Code or recognized and continued in force by reference
            therein, are repealed.

               Section 3
               
            . The repeal provided for in section 2 hereof shall not be construed to revive any
            ordinance or part thereof that has been repealed by a subsequent ordinance that is
            repealed by this ordinance.

               Section 4
               
            . Unless another penalty is expressly provided, every person convicted of a violation
            of any provision of the Code or any ordinance, rule or regulation adopted or issued
            in pursuance thereof shall be punished by a fine not exceeding five hundred dollars
            ($500.00) except for:

               (1)

               Violations of municipal ordinances that govern fire, safety, zoning, public health
               and sanitation, including dumping of refuse, vegetation and litter violations in which
               the maximum fine shall be two thousand dollars ($2,000.00) for each offense; and

               (2)

               Violations of traffic laws which are punishable as a Class C misdemeanor shall be
               punished by a fine not to exceed two hundred dollars ($200.00).

            However, no penalty shall be greater or lesser than the penalty provided for the same
            or similar offense under the laws of the state.

            Each act of violation and each day upon which any such violation shall continue or
            occur shall constitute a separate offense. The penalty provided by this section, unless
            another penalty is expressly provided, shall apply to the amendment of any Code section,
            whether or not such penalty is reenacted by the amendatory ordinance. In addition
            to the penalty prescribed above, the City may pursue other remedies such as abatement
            of nuisances, injunctive relieve and revocation of licenses or permits.

               Section 5
               
            . Additions or amendments to the Code when passed in such form as to indicate the
            intention of the City Council to make the same a part of the Code shall be deemed
            to be incorporated into the Code, so that reference to the Code includes the additions
            and amendments.

               Section 6
               
            . Ordinances adopted after March 15, 2010, that amend or refer to ordinances that
            have been codified in the Code shall be construed as if they amend or refer to like
            provisions of the Code.

               Section 7
               
            . This ordinance shall become effective May 17, 2010.

            Passed and adopted by the Alvarado City Council this 17th day of May 2010.
            
            ___________
            
            Mayor

            ATTEST:

            ___________
            
            City Clerk"
SUPPLEMENT HISTORY TABLE,NULL,Content is too large for cell.
CODE OF ORDINANCES,NULL,NULL
Chapter 1,GENERAL PROVISIONS,NULL
Sec. 1-1.,How Code designated and cited.,"The ordinances in this and the following chapters and sections constitute the ""Code
               of Ordinances, City of Alvarado, Texas,"" and may be so cited. Such Code may also be
               cited as the ""Alvarado Code.""
               
               State Law reference— 
                  Authority of municipality to codify ordinances, V.T.C.A., Local Government Code, ch.
                  53."
Sec. 1-2.,Definitions and rules of construction.,"In this Code, and in all ordinances and resolutions passed by the city council, the
               following rules contained in this section shall be observed, unless the usage would
               be inconsistent with the manifest intent of the council:

               Generally. Terms shall be construed in the common and usual significance unless the contrary
               is clearly indicated.

               Agencies, officers. Any reference to any federal, state, or local agency or officer includes any successor
               agency or officer.

               City. The term ""city,"" ""the city"" or ""this city"" means the City of Alvarado, in Johnson
               County, Texas.

               City secretary, chief of police or other city officers or departments. The term ""city secretary,"" ""chief of police"" or words designating any other city
               officers or departments shall be construed to mean the city clerk, chief of police
               or such other municipal officers or departments, respectively, of the City of Alvarado,
               Texas.

               Code. The term ""the Code"" or ""this Code"" means the ""Code of Ordinances, City of Alvarado,
               Texas.""

               Computation of time. Whenever a notice is required to be given or an act to be done in a certain length
               of time before any proceeding or step in a proceeding shall be had, the day on which
               such notice is given, or such act is done, shall not be counted in computing the time,
               but the day on which such preceding or step in a proceeding is to be had shall be
               counted except as otherwise expressly provided in this Code.

               Council, city council or governing body. The term ""council,"" ""city council"" or ""governing body"" means the mayor and councilmembers
               acting as the city council of Alvarado, Texas.

               County. The term ""county"" means Johnson County, Texas.

               Delegation of authority. A provision that authorizes or requires a city officer or city employee to perform
               an act or make a decision also authorizes such officer or employee to act or make
               a decision through authorized subordinates.

               Gender. A term importing the masculine gender shall extend and be applied to females and
               to firms, partnerships and corporations as well as to males.

               Highway or street. The term ""highway"" or ""street,"" when used in this Code, shall include any street,
               alley, highway, avenue, public place or square, bridge, viaduct, tunnel, underpass,
               overpass and causeway in the city, dedicated or devoted to public use.

               May. The term ""may"" is permissive.

               Month. The term ""month"" means a calendar month, except as otherwise specified in this Code.

               Must and shall. The terms ""must"" and ""shall"" are each mandatory.

               Number. Any term importing the singular number shall include the plural and any word importing
               the plural number shall include the singular.

               Oath. The term ""oath"" shall be construed to include any affirmation required by law. The
               terms ""swear"" and ""sworn"" shall be equivalent to the terms ""affirm"" and ""affirmed.""

               Official time standard. Whenever certain hours are named in this Code, the hours shall mean Central Standard
               Time or Central Daylight Saving Time, whichever is in current use in the city.

               Owner. The term ""owner,"" applied to a building or land, includes any part owner, joint owner,
               tenant in common, tenant in partnership, joint tenant or tenant by the entirety, of
               the whole or of the part of such building or land, except as otherwise defined in
               this Code.

               Person. The term ""person"" shall extend and be applied to associations, corporations, firms,
               partnerships, trustees, receivers, companies, assignees, administrators, executors,
               guardians, or other representatives, and bodies politic and corporate as well as to
               individuals.

               Personal property. The term ""personal property"" includes every species of property, except real property,
               as defined in this section.

               Preceding and following. The terms ""preceding"" and ""following"" mean next before and next after, respectively.

               Property. The term ""property"" includes real and personal property, or a mixture of the two,
               if the sense used so indicates.

               Real property. The term ""real property"" includes land, tenements and hereditaments.

               Roadway. The term ""roadway"" means that portion of a street improved, designed or ordinarily
               used for vehicular traffic and that portion of a street used for drainage.

               Sidewalk. The term ""sidewalk"" means any portion of the street between the curb or the lateral
               lane of the roadway and the adjacent property line, all or a part of which is intended
               for the use by pedestrians.

               Sidewalk area. The term ""sidewalk area"" means the space between the lateral lane of the roadway
               and the boundary separating the public right-of-way and the adjacent private property.

               Signature or subscription. The term ""signature"" or ""subscription"" includes a mark when the person cannot write.

               State. The term ""the state"" or ""this state"" means the State of Texas.

               Time. Terms used in the past or present tense, include the future as well as the past and
               present.

               V.T.C.A. The abbreviation ""V.T.C.A."" refers to the divisions of Vernon's Texas Code Annotated, as amended or revised,
               or any successor statute.

               Written or in writing. The term ""written"" or ""in writing"" shall be construed to include any representation,
               other than oral, of words, letters or figures, whether by printing or otherwise.

               Year. The term ""year"" means a calendar year, except as otherwise provided in this Code."
Sec. 1-3.,Catchlines and headings; history notes and state law references.,"(a)

               The headings of chapters, articles, divisions, subdivisions and catchlines of the
               several sections of this Code are intended as mere catchwords to indicate the contents
               of the chapters, articles, divisions, subdivisions and sections and shall not be deemed
               or taken to be titles of such chapters, articles, divisions, subdivisions and sections,
               nor as any part of the chapters, articles, divisions, subdivisions and sections, nor
               unless expressly so provided, shall they be so deemed when any of such chapters, articles,
               divisions, subdivisions and sections, including the headings and catchlines, are amended
               or reenacted.

               (b)

               The history or source notes appearing in parentheses after sections in this Code have
               no legal effect and only indicate legislative history. State law references that appear
               in this Code after sections or subsections, or that otherwise appear in footnote form,
               are provided for the convenience of the user of this Code and have no legal effect."
Sec. 1-4.,Severability of parts.,"It is the intention of the city council that the chapters, articles, divisions, subdivisions,
               sections, subsections, paragraphs, sentences, clauses and phrases of this Code are
               severable, and if any such part of this Code shall be declared unconstitutional by
               the valid judgment or decree of any court of competent jurisdiction, such unconstitutionality
               shall not affect any of the remaining parts of this Code, since the same would have
               been enacted by the city council without the incorporation in this Code of any such
               unconstitutional part."
ARTICLE II.,SPECIAL EVENTS,NULL
